ReceivedDate,NetOrderDollarPrice,SalesMarket,SalesOrg,OrderType,Status
2021-11-02,3301.0,Latin America,MX,Trade Order,Delivered
2021-11-02,247.52,Latin America,MX,Trade Order,Delivered
2021-11-02,9443.12,Latin America,MX,Trade Order,Delivered
2021-11-02,1193.92,Latin America,MX,Trade Order,Delivered
2021-11-02,542.88,Latin America,MX,Trade Order,Delivered
2021-11-02,2105.54,Latin America,MX,Trade Order,Delivered
2021-11-02,526.4,Latin America,MX,Trade Order,Delivered
2021-11-02,1802.3,Latin America,MX,Trade Order,Delivered
2021-11-02,235.04,Latin America,MX,Trade Order,Delivered
2021-11-02,893.8,Latin America,MX,Trade Order,Delivered
2021-11-02,1193.92,Latin America,MX,Trade Order,Delivered
2021-11-02,2119.08,Latin America,MX,Trade Order,Delivered
2021-11-02,24528.0,Latin America,MX,Trade Order,Delivered
2021-11-02,30.16,Latin America,MX,Trade Order,Delivered
2021-11-02,19.76,Latin America,MX,Trade Order,Delivered
2021-11-02,2665.36,Latin America,MX,Trade Order,Delivered
2021-11-02,15803.92,Latin America,MX,Trade Order,Delivered
2021-11-02,4785.41,Latin America,MX,Trade Order,Delivered
2021-11-02,2667.18,Latin America,MX,Trade Order,Delivered
2021-11-02,395.2,Latin America,MX,Trade Order,Delivered
2021-11-02,132.08,Latin America,MX,Trade Order,Delivered
2021-11-02,5663.52,Latin America,MX,Trade Order,Delivered
2021-11-02,118.0,Latin America,MX,Trade Order,Delivered
2021-11-03,4922.0,Latin America,MX,Trade Order,Delivered
2021-11-03,32.4,Latin America,MX,Trade Order,Delivered
2021-11-03,1180.0,Latin America,MX,Trade Order,Delivered
2021-11-03,74.88,Latin America,MX,Trade Order,Delivered
2021-11-03,2375.61,Latin America,MX,Trade Order,Delivered
2021-11-03,245.92,Latin America,MX,Trade Order,Delivered
2021-11-03,4397.4,Latin America,MX,Trade Order,Delivered
2021-11-03,245.92,Latin America,MX,Trade Order,Delivered
2021-11-03,235.04,Latin America,MX,Trade Order,Delivered
2021-11-03,1180.0,Latin America,MX,Trade Order,Delivered
2021-11-04,21381.22,Latin America,MX,Trade Order,Delivered
2021-11-04,985.56,Latin America,MX,Trade Order,Delivered
2021-11-04,27.12,Latin America,MX,Trade Order,Delivered
2021-11-04,102.96,Latin America,MX,Trade Order,Delivered
2021-11-04,330.1,Latin America,MX,Trade Order,Delivered
2021-11-04,45.44,Latin America,MX,Trade Order,Delivered
2021-11-04,1313.04,Latin America,MX,Trade Order,Delivered
2021-11-04,1236.18,Latin America,MX,Trade Order,Delivered
2021-11-04,7716.32,Latin America,MX,Trade Order,Delivered
2021-11-04,14979.44,Latin America,MX,Trade Order,Delivered
2021-11-04,1181.44,Latin America,MX,Trade Order,Delivered
2021-11-04,704.32,Latin America,MX,Trade Order,Delivered
2021-11-05,102.96,Latin America,MX,Trade Order,Delivered
2021-11-05,831.4,Latin America,MX,Trade Order,Delivered
2021-11-05,174.52,Latin America,MX,Trade Order,Delivered
2021-11-05,21.31,Latin America,MX,Trade Order,Delivered
2021-11-05,12.13,Latin America,MX,Trade Order,Delivered
2021-11-05,12.13,Latin America,MX,Trade Order,Delivered
2021-11-05,174.52,Latin America,MX,Trade Order,Delivered
2021-11-05,349.05,Latin America,MX,Trade Order,Delivered
2021-11-05,1535.89,Latin America,MX,Trade Order,Delivered
2021-11-05,4.88,Latin America,MX,Trade Order,Delivered
2021-11-05,157.04,Latin America,MX,Trade Order,Delivered
2021-11-05,157.04,Latin America,MX,Trade Order,Delivered
2021-11-05,4.88,Latin America,MX,Trade Order,Delivered
2021-11-05,12.13,Latin America,MX,Trade Order,Delivered
2021-11-05,174.52,Latin America,MX,Trade Order,Delivered
2021-11-05,691.4,Latin America,MX,Trade Order,Delivered
2021-11-05,20.8,Latin America,MX,Trade Order,Delivered
2021-11-05,915.4,Latin America,MX,Trade Order,Delivered
2021-11-05,1253.0,Latin America,MX,Trade Order,Delivered
2021-11-05,1253.0,Latin America,MX,Trade Order,Delivered
2021-11-05,1253.0,Latin America,MX,Trade Order,Delivered
2021-11-05,1226.0,Latin America,MX,Trade Order,Delivered
2021-11-05,771.46,Latin America,MX,Trade Order,Delivered
2021-11-05,771.46,Latin America,MX,Trade Order,Delivered
2021-11-05,1253.0,Latin America,MX,Trade Order,Delivered
2021-11-05,10288.0,Latin America,MX,Trade Order,Delivered
2021-11-05,1601.0,Latin America,MX,Trade Order,Delivered
2021-11-05,2314.26,Latin America,MX,Trade Order,Delivered
2021-11-05,753.11,Latin America,MX,Trade Order,Delivered
2021-11-05,3012.44,Latin America,MX,Trade Order,Delivered
2021-11-05,892.0,Latin America,MX,Trade Order,Delivered
2021-11-05,892.0,Latin America,MX,Trade Order,Delivered
2021-11-05,90.48,Latin America,MX,Trade Order,Delivered
2021-11-05,1382.8,Latin America,MX,Trade Order,Delivered
2021-11-05,3464.0,Latin America,MX,Trade Order,Delivered
2021-11-05,1784.0,Latin America,MX,Trade Order,Delivered
2021-11-08,421.8,Latin America,MX,Trade Order,Delivered
2021-11-08,60.32,Latin America,MX,Trade Order,Delivered
2021-11-08,205.92,Latin America,MX,Trade Order,Delivered
2021-11-08,514.8,Latin America,MX,Trade Order,Delivered
2021-11-08,64.8,Latin America,MX,Trade Order,Delivered
2021-11-08,1029.6,Latin America,MX,Trade Order,Delivered
2021-11-08,1029.6,Latin America,MX,Trade Order,Delivered
2021-11-08,1029.6,Latin America,MX,Trade Order,Delivered
2021-11-08,102.96,Latin America,MX,Trade Order,Delivered
2021-11-08,369.2,Latin America,MX,Trade Order,Delivered
2021-11-08,1649.82,Latin America,MX,Trade Order,Delivered
2021-11-08,3769.32,Latin America,MX,Trade Order,Delivered
2021-11-08,2885.38,Latin America,MX,Trade Order,Delivered
2021-11-09,212.16,Latin America,MX,Trade Order,Delivered
2021-11-09,250.64,Latin America,MX,Trade Order,Delivered
2021-11-09,3425.76,Latin America,MX,Trade Order,Delivered
2021-11-09,2466.12,Latin America,MX,Trade Order,Delivered
2021-11-09,331.76,Latin America,MX,Trade Order,Delivered
2021-11-09,660.4,Latin America,MX,Trade Order,Delivered
2021-11-09,660.4,Latin America,MX,Trade Order,Delivered
2021-11-09,396.24,Latin America,MX,Trade Order,Delivered
2021-11-09,2268.98,Latin America,MX,Trade Order,Delivered
2021-11-09,102.96,Latin America,MX,Trade Order,Delivered
2021-11-09,133.12,Latin America,MX,Trade Order,Delivered
2021-11-09,481.52,Latin America,MX,Trade Order,Delivered
2021-11-09,14031.78,Latin America,MX,Trade Order,Delivered
2021-11-09,915.4,Latin America,MX,Trade Order,Delivered
2021-11-09,1114.44,Latin America,MX,Trade Order,Delivered
2021-11-10,182.0,Latin America,MX,Trade Order,Delivered
2021-11-10,1506.22,Latin America,MX,Trade Order,Delivered
2021-11-10,785.45,Latin America,MX,Trade Order,Delivered
2021-11-10,9786.4,Latin America,MX,Trade Order,Delivered
2021-11-10,102.96,Latin America,MX,Trade Order,Delivered
2021-11-10,6586.28,Latin America,MX,Trade Order,Delivered
2021-11-10,934.36,Latin America,MX,Trade Order,Delivered
2021-11-10,498.03,Latin America,MX,Trade Order,Delivered
2021-11-10,314.08,Latin America,MX,Trade Order,Delivered
2021-11-10,132.08,Latin America,MX,Trade Order,Delivered
2021-11-10,771.46,Latin America,MX,Trade Order,Delivered
2021-11-10,4628.52,Latin America,MX,Trade Order,Delivered
2021-11-10,2073.06,Latin America,MX,Trade Order,Delivered
2021-11-10,253.56,Latin America,MX,Trade Order,Delivered
2021-11-11,30.16,Latin America,MX,Trade Order,Delivered
2021-11-11,592.8,Latin America,MX,Trade Order,Delivered
2021-11-11,56.16,Latin America,MX,Trade Order,Delivered
2021-11-11,137.28,Latin America,MX,Trade Order,Delivered
2021-11-11,25.17,Latin America,MX,Trade Order,Delivered
2021-11-11,17.68,Latin America,MX,Trade Order,Delivered
2021-11-11,102.96,Latin America,MX,Trade Order,Delivered
2021-11-11,102.96,Latin America,MX,Trade Order,Delivered
2021-11-11,3300.83,Latin America,MX,Trade Order,Delivered
2021-11-11,19.76,Latin America,MX,Trade Order,Delivered
2021-11-11,2770.46,Latin America,MX,Trade Order,Delivered
2021-11-11,5849.32,Latin America,MX,Trade Order,Delivered
2021-11-11,753.11,Latin America,MX,Trade Order,Delivered
2021-11-11,4518.66,Latin America,MX,Trade Order,Delivered
2021-11-11,847.0,Latin America,MX,Trade Order,Delivered
2021-11-11,1082.04,Latin America,MX,Trade Order,Delivered
2021-11-11,831.4,Latin America,MX,Trade Order,Delivered
2021-11-11,831.4,Latin America,MX,Trade Order,Delivered
2021-11-11,2494.2,Latin America,MX,Trade Order,Delivered
2021-11-11,3076.56,Latin America,MX,Trade Order,Delivered
2021-11-11,235.04,Latin America,MX,Trade Order,Delivered
2021-11-11,167.26,Latin America,MX,Trade Order,Delivered
2021-11-11,3039.42,Latin America,MX,Trade Order,Delivered
2021-11-11,1308.44,Latin America,MX,Trade Order,Delivered
2021-11-11,102.96,Latin America,MX,Trade Order,Delivered
2021-11-11,918.52,Latin America,MX,Trade Order,Delivered
